Country,Year_1,Month_1,type,Event Category,EventDescription
Benin,2019,March,Precursor,Manipulation of civil service,"An electoral law upheld by the now Talon-friendly court system in 2019 required that all political parties receive a certificate from the government in order to be legally recognized, which effectively allowed Talon’s government to disqualify any parties not aligned with the president’s values."
Benin,2019,April,Resistance,Nonviolent protest,"Protesters take to the streets in response to the lack of opposition candidates in the parliamentary election and media repression
"
Benin,2019,April,Precursor,State-conducted violence or abuse,"On April 1st , 4th , and 19th security forces used tear gas, batons and compressed air launchers to disperse opposition gatherings"
Benin,2019,April,Precursor,Electoral fraud and voter suppression,"Parliamentary elections are marred by harsh restrictions on civil liberties, including incidents of vote-buying, intimidation, arbitrary violence, ballot-stuffing, protest bans, and internet shutdowns
"
Benin,2019,April,Precursor,Electoral boycott,"The disqualification or arrest of major opposition candidates led to an opposition boycott of elections; voter turnout decreased from 65% in 2016 to 50% in 2021
"
Benin,2019,April,Symptom,Curtailed civil liberties,Authorities in Benin turned off the country’s internet during parliamentary elections on April 28
Benin,2019,April,Symptom,Curtailed civil liberties,"At a gathering in the Quando Market with other women, Yibatou?Sani?Glele, a member of the opposition Democratic Renewal Party, and an MP in the National Assembly were arrested while protesting the exclusion of her party from the elections. Police seized their placard and speaker and charged her with holding an unauthorised gathering and incitement to hold an unauthorised gathering"
Benin,2019,April,Symptom,No-confidence votes or decreased voter turnout,The legislative elections had the lowest voter turnout in 30 years at 27%
Benin,2019,April,Symptom,Systemic reduction in election freedom and fairness,"In 2019, The Constitutional Court ruled that political parties required a “certificate of conformity,” This combined with high registration fees ($427,000), ended in the National Electoral Commission only approving two political parties?both aligned with President Talon?for the April 28 elections"
Benin,2019,April,Precursor,State-conducted violence or abuse,"In April 2019, following disputed parliamentary elections in
which all candidates except those aligned with Talon’s party were essentially blocked from
participating, the perception that the election results were unfair led to political crisis and
widespread protest, where protesters were killed and injured."
Benin,2019,April,Resistance,Nonviolent protest,"In April 2019, following disputed parliamentary elections in which all candidates except those aligned with Talon’s party were essentially blocked from participating, the perception that the election results were unfair led to political crisis and widespread protest."
Benin,2019,June,Symptom,Curtailed civil liberties,"In 2019, the Talon administration detained former president Boni Yayi. Boni Yayi spent 52 days in detention for allegedly inciting violence after he spoke out in opposition to new electoral rules imposed by the Talon administration which drastically limited electoral competition, further cementing Talon’s power."
Benin,2019,November,Symptom,Revision of the constitution,"A constitutional revision put forward by President Talon and approved by the National Assembly includes provisions requiring that presidential candidates obtain sponsorship from 10% of elected officials, giving the incumbent party of President Talon control over those who can run in future elections
"
Benin,2019,November,Symptom,Systemic reduction in election freedom and fairness,"A constitutional revision put forward by President Talon and approved by the National Assembly includes provisions requiring that presidential candidates obtain sponsorship from 10% of elected officials, giving the incumbent party of President Talon control over those who can run in future elections
"
Benin,2019,November,Symptom,Media repression,"The High Authority for Broadcasting and Communication (HAAC) denies a license renewal to radio Soleil FM, which is known for broadcasting opinions critical of the government"
Benin,2019,December,Symptom,Media repression,"Ignace Sossou, a journalist who wrote a series of tweets quoting Benin’s Public Prosecutor on the decision to shut down the internet, was sentenced for 18 months in prison and fined for harassment under new digital media laws."
Benin,2020,April,Symptom,Weakened civil service or integrity institutions,The government withdrew the right of individuals and non-governmental organizations to submit complaints directly to the African Court on Human and Peoples’ Rights
Benin,2020,April,Symptom,Weakened civil service or integrity institutions,President Talon withdraws the right of individuals and non-governmental organizations to submit complaints directly to the African Union's African Court on Human and Peoples’ Rights (AHCPR) after action taken by the court
Benin,2020,July,Symptom,Media repression,"the High Authority for Broadcasting and Communication (HAAC) orders the closure of online media platforms that operated without direct approval since the 2015 Information and Communication Code requires all internet sites that provide audiovisual and written information to request approval from the HAAC
"
